"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"23-Feb-2022","EQ","2,401.10","2,406.55","2,368.00","2,389.00","2,371.25","2,374.05","2,391.23","2,751.35","1,876.70",3373615,"8,067,102,258.45",195350
"22-Feb-2022","EQ","2,352.90","2,395.90","2,347.15","2,399.90","2,389.75","2,389.00","2,372.16","2,751.35","1,876.70",6227901,"14,773,584,971.00",197401
"21-Feb-2022","EQ","2,412.00","2,437.50","2,384.60","2,424.40","2,399.60","2,399.90","2,409.12","2,751.35","1,876.70",5125968,"12,349,078,484.55",226214
"18-Feb-2022","EQ","2,444.40","2,456.40","2,420.15","2,443.50","2,427.30","2,424.40","2,440.25","2,751.35","1,876.70",3126873,"7,630,367,399.75",158691
"17-Feb-2022","EQ","2,420.10","2,454.90","2,410.00","2,412.95","2,441.00","2,443.50","2,439.61","2,751.35","1,876.70",5931774,"14,471,212,589.25",211881
"16-Feb-2022","EQ","2,430.00","2,433.00","2,395.95","2,417.95","2,407.65","2,412.95","2,417.77","2,751.35","1,876.70",4796294,"11,596,325,561.15",190438
"15-Feb-2022","EQ","2,351.20","2,423.90","2,335.70","2,338.55","2,415.10","2,417.95","2,381.19","2,751.35","1,876.70",5174646,"12,321,814,147.55",261746
"14-Feb-2022","EQ","2,340.25","2,354.95","2,313.00","2,376.40","2,332.00","2,338.55","2,338.11","2,751.35","1,876.70",4947109,"11,566,867,666.20",219862
"11-Feb-2022","EQ","2,373.25","2,384.50","2,344.10","2,381.05","2,372.55","2,376.40","2,367.97","2,751.35","1,876.70",7357863,"17,423,186,717.85",283837
"10-Feb-2022","EQ","2,395.70","2,395.70","2,365.10","2,383.50","2,376.95","2,381.05","2,381.99","2,751.35","1,876.70",5752361,"13,702,086,540.00",210155
"09-Feb-2022","EQ","2,371.15","2,387.20","2,358.00","2,356.05","2,384.00","2,383.50","2,373.06","2,751.35","1,876.70",5300891,"12,579,355,094.55",180905
"08-Feb-2022","EQ","2,330.65","2,360.00","2,310.00","2,317.10","2,357.50","2,356.05","2,338.32","2,751.35","1,876.70",5566080,"13,015,260,812.95",186348
"07-Feb-2022","EQ","2,342.00","2,356.80","2,305.00","2,331.30","2,319.40","2,317.10","2,330.89","2,751.35","1,876.70",4944725,"11,525,587,391.70",243702
"04-Feb-2022","EQ","2,341.00","2,348.45","2,321.10","2,352.75","2,330.50","2,331.30","2,334.17","2,751.35","1,848.00",5104761,"11,915,365,723.15",230586
"03-Feb-2022","EQ","2,392.00","2,401.45","2,347.20","2,383.55","2,348.45","2,352.75","2,367.01","2,751.35","1,848.00",4417864,"10,457,143,007.15",236441
"02-Feb-2022","EQ","2,407.00","2,407.00","2,375.10","2,378.70","2,385.00","2,383.55","2,384.84","2,751.35","1,848.00",4623163,"11,025,484,207.55",153391
"01-Feb-2022","EQ","2,408.00","2,420.60","2,347.10","2,386.60","2,382.80","2,378.70","2,394.79","2,751.35","1,848.00",6092033,"14,589,169,629.60",227599
"31-Jan-2022","EQ","2,360.20","2,406.40","2,356.20","2,335.85","2,384.05","2,386.60","2,388.27","2,751.35","1,848.00",5604308,"13,384,612,779.60",268776
"28-Jan-2022","EQ","2,365.00","2,375.90","2,328.40","2,338.10","2,336.00","2,335.85","2,347.94","2,751.35","1,830.00",6769154,"15,893,536,411.75",255535
"27-Jan-2022","EQ","2,336.00","2,356.10","2,311.05","2,373.25","2,347.00","2,338.10","2,333.67","2,751.35","1,830.00",9239426,"21,561,779,760.10",315266
"25-Jan-2022","EQ","2,349.55","2,388.65","2,305.00","2,377.90","2,368.10","2,373.25","2,343.88","2,751.35","1,830.00",11311456,"26,512,743,789.90",482175
"24-Jan-2022","EQ","2,475.00","2,504.75","2,355.10","2,477.85","2,379.90","2,377.90","2,418.60","2,751.35","1,830.00",10092511,"24,409,735,846.55",399996
"21-Jan-2022","EQ","2,452.00","2,502.25","2,452.00","2,477.45","2,476.05","2,477.85","2,475.83","2,751.35","1,830.00",6155759,"15,240,631,432.55",236838
"20-Jan-2022","EQ","2,500.05","2,509.95","2,455.00","2,521.60","2,482.10","2,477.45","2,480.98","2,751.35","1,830.00",7612203,"18,885,733,850.80",251195
"19-Jan-2022","EQ","2,530.00","2,542.00","2,509.00","2,521.80","2,521.40","2,521.60","2,522.72","2,751.35","1,830.00",4502155,"11,357,696,261.65",153189
"18-Jan-2022","EQ","2,554.75","2,562.35","2,515.75","2,552.25","2,523.00","2,521.80","2,540.02","2,751.35","1,830.00",2868235,"7,285,364,914.75",158330
"17-Jan-2022","EQ","2,538.00","2,565.00","2,537.00","2,539.00","2,553.00","2,552.25","2,555.10","2,751.35","1,830.00",3708822,"9,476,427,091.05",160043
"14-Jan-2022","EQ","2,535.00","2,567.30","2,525.85","2,535.30","2,537.00","2,539.00","2,545.66","2,751.35","1,830.00",9197773,"23,414,360,751.05",195865
"13-Jan-2022","EQ","2,521.25","2,541.00","2,508.40","2,521.10","2,536.25","2,535.30","2,525.55","2,751.35","1,830.00",5471871,"13,819,465,157.00",186278
"12-Jan-2022","EQ","2,471.30","2,524.95","2,465.00","2,455.55","2,518.00","2,521.10","2,505.89","2,751.35","1,830.00",6830402,"17,116,227,265.60",267056
"11-Jan-2022","EQ","2,436.00","2,474.95","2,435.00","2,438.00","2,455.80","2,455.55","2,459.51","2,751.35","1,830.00",7478681,"18,393,912,175.85",209712
"10-Jan-2022","EQ","2,452.00","2,457.00","2,416.05","2,436.00","2,440.20","2,438.00","2,432.54","2,751.35","1,830.00",4267365,"10,380,527,641.00",214098
"07-Jan-2022","EQ","2,430.95","2,458.05","2,411.55","2,416.50","2,439.90","2,436.00","2,436.73","2,751.35","1,830.00",6051239,"14,745,214,277.80",191088
"06-Jan-2022","EQ","2,451.20","2,454.00","2,409.00","2,469.60","2,419.15","2,416.50","2,423.21","2,751.35","1,830.00",6667483,"16,156,735,762.35",227953
"05-Jan-2022","EQ","2,462.00","2,477.00","2,432.95","2,458.10","2,461.85","2,469.60","2,455.69","2,751.35","1,830.00",5373618,"13,195,934,862.50",210976
"04-Jan-2022","EQ","2,415.90","2,461.00","2,404.00","2,403.85","2,460.00","2,458.10","2,437.26","2,751.35","1,830.00",5006225,"12,201,491,701.65",208647
"03-Jan-2022","EQ","2,365.00","2,407.95","2,363.55","2,368.15","2,407.95","2,403.85","2,392.64","2,751.35","1,830.00",2502073,"5,986,568,510.10",105190
"31-Dec-2021","EQ","2,373.00","2,383.90","2,360.00","2,359.10","2,368.50","2,368.15","2,370.53","2,751.35","1,830.00",4373768,"10,368,136,137.70",138728
"30-Dec-2021","EQ","2,400.00","2,404.95","2,345.60","2,402.50","2,364.00","2,359.10","2,366.88","2,751.35","1,830.00",13537254,"32,041,015,240.70",226181
"29-Dec-2021","EQ","2,391.00","2,419.00","2,382.10","2,398.40","2,398.00","2,402.50","2,400.08","2,751.35","1,830.00",7118779,"17,085,610,789.25",169024
"28-Dec-2021","EQ","2,375.60","2,404.85","2,373.05","2,370.25","2,404.00","2,398.40","2,389.02","2,751.35","1,830.00",2941883,"7,028,226,280.45",121810
